"CDSCode","NCESDist","NCESSchool","StatusType","County","Distrinct","School","Street","StreetAbr","City","Zip","State","MailStreet","MailStrAbr","MailCity","MailZip","MailState","Phone","Ext","Website","OpenDate","ClosedDate","Charter","CharterNum","FundingType","DOC","DOCType","SOC","SOCType","EdOpsCode","EdOpsName","EILCode","EILName","GSoffered","GSserved","Virtual","Magnet","Latitude","Longitude","AdmFName1","AdmLName1","AdmEmail1","AdmFName2","AdmLName2","AdmEmail2","AdmFName3","AdmLName3","AdmEmail3","LastUpdate","district"
"04615076003263","0629100","04492",Active,Butte,,Ophir Elementary,"210 Oakvale Avenue","210 Oakvale Ave.",Oroville,"95966-9494",CA,"210 Oakvale Avenue","210 Oakvale Ave.",Oroville,"95966-9494",CA,(530) 532-3005,"","",1980-07-01,,0,"","","52",Elementary School District,"60",Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-6,K-6,N,0,39.500163,-121.49391,Rita,Costa,rcosta@ocesd.net,"","","","","","",2016-07-19,Oroville City Elementary
"04615076003271","0629100","04493",Active,Butte,,Stanford Avenue Elementary,"1801 Stanford Avenue","1801 Stanford Ave.",Oroville,"95966-5231",CA,"1801 Stanford Avenue","1801 Stanford Ave.",Oroville,"95966-5231",CA,(530) 532-3006,"","",1980-07-01,,0,"","","52",Elementary School District,"60",Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-6,K-6,N,0,39.513249,-121.53604,Shannon,Capshew,scapshew@ocesd.net,"","","","","","",2016-07-19,Oroville City Elementary
"04615076094957","0629100","04494",Active,Butte,,Wyandotte Academy,"2800 Wyandotte Avenue","2800 Wyandotte Ave.",Oroville,"95966-6583",CA,"2800 Wyandotte Avenue","2800 Wyandotte Ave.",Oroville,"95966-6583",CA,(530) 532-3007,"","",1980-07-01,,0,"","","52",Elementary School District,"60",Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-6,K-6,N,0,39.500459,-121.54213,Jonathan,Dowell,tdowell@ocesd.net,"","","","","","",2016-07-19,Oroville City Elementary
"04615076120919","0629100","13250",Active,Butte,,Sierra Del Oro,"2900 Wyandotte Avenue","2900 Wyandotte Ave.",Oroville,"95966-6539",CA,"2900 Wyandotte Avenue","2900 Wyandotte Ave.",Oroville,"95966-6539",CA,(530) 532-5690,"","",2002-08-21,,0,"","","52",Elementary School District,"08",Preschool,TRAD,Traditional,PS,Preschool,P,"",N,,39.50041,-121.54631,Andrea,Dunn,adunn@ocesd.net,"","","","","","",2016-07-19,Oroville City Elementary
"04615150000000","0629130","",Active,Butte,,"","2211 Washington Avenue","2211 Washington Ave.",Oroville,"95966-5440",CA,"2211 Washington Avenue","2211 Washington Ave.",Oroville,"95966-5440",CA,(530) 538-2300,"",www.ouhsd.org,,,,"","","56",High School District,"","","","","","","","","",,39.509368,-121.54714,Corey,Willenberg,cwillenb@ouhsd.org,"","","","","","",2016-07-11,Oroville Union High
"04615150430017","0629130","13373",Active,Butte,,Oroville Adult Education Career and Technical Center,"2750 Mitchell Ave","2750 Mitchell Ave",Oroville,"95966",CA,"2750 Mitchell Ave","2750 Mitchell Ave",Oroville,"95966",CA,(530) 538-5350,"",www.orovilleadultschool.com,1980-07-01,,0,"","","56",High School District,"70",Adult Education Centers,TRAD,Traditional,A,Adult,Adult,"",N,,39.509939,-121.54492,Jeff,Ochs,jochs@ouhsd.org,"","","","","","",2016-01-29,Oroville Union High
"04615150430116","0629130","07489",Closed,Butte,,Challenge Charter High,"2750 Mitchell Avenue","2750 Mitchell Ave.",Oroville,"95966",CA,"2750 Mitchell Avenue","2750 Mitchell Ave.",Oroville,"95966",CA,"","",www.ouhsd.org/cchs/,1998-01-20,2009-07-01,1,"0126","","56",High School District,"66",High Schools (Public),TRAD,Traditional,HS,High School,"9-12","9-12","",,,,"","","","","","","","","",2009-09-15,Oroville Union High
"04615150430140","0629130","07947",Active,Butte,,Oroville High Community Day,"2120 Second Street","2120 Second St.",Oroville,"95965-3415",CA,"2120 Second Street","2120 Second St.",Oroville,"95965-3415",CA,(530) 538-2330,"",http://cds.ouhsd.org,1999-04-12,,0,"","","56",High School District,"69",District Community Day Schools,COMMDAY,Community Day School,HS,High School,"9-12","9-12",N,0,39.522412,-121.56952,Dennis,Spasbo,dspasbo@ouhsd.org,"","","","","","",2015-12-18,Oroville Union High
"04615150434803","0629130","04495",Active,Butte,,Las Plumas High,"2380 Las Plumas Avenue","2380 Las Plumas Ave.",Oroville,"95966-7305",CA,"2380 Las Plumas Avenue","2380 Las Plumas Ave.",Oroville,"95966-7305",CA,(530) 538-2310,"",http://lphs.ouhsd.org,1980-07-01,,0,"","","56",High School District,"66",High Schools (Public),TRAD,Traditional,HS,High School,"9-12","9-12",N,0,39.480408,-121.541,Dan,Ramos,dramos@ouhsd.org,"","","","","","",2015-06-18,Oroville Union High
"04615150435602","0629130","04496",Active,Butte,,Oroville High,"1535 Bridge Street","1535 Bridge St.",Oroville,"95966-5060",CA,"1535 Bridge Street","1535 Bridge St.",Oroville,"95966-5060",CA,(530) 538-2320,"",http://ohs.ouhsd.org,1980-07-01,,0,"","","56",High School District,"66",High Schools (Public),TRAD,Traditional,HS,High School,"9-12","9-12",N,0,39.514321,-121.54591,Douglas,Williams,dougwilliams@ouhsd.org,"","","","","","",2015-12-17,Oroville Union High
"04615150437566","0629130","04497",Active,Butte,,Prospect High (Continuation),"2060 Second Street","2060 Second St.",Oroville,"95965-3497",CA,"2060 Second Street","2060 Second St.",Oroville,"95965-3497",CA,(530) 538-2330,"",http://phs.ouhsd.org,1980-07-01,,0,"","","56",High School District,"68",Continuation High Schools,CON,Continuation School,HS,High School,"9-12","10-12",N,0,39.521372,-121.5696,Dennis,Spasbo,dspasbo@ouhsd.org,"","","","","","",2015-12-18,Oroville Union High
"04615230000000","0629540","",Active,Butte,,"","7390 Bulldog Way","7390 Bulldog Way",Palermo,"95968-9700",CA,"7390 Bulldog Way","7390 Bulldog Way",Palermo,"95968-9700",CA,(530) 533-4842,"7",www.palermoschools.org,,,,"","","52",Elementary School District,"","","","","","","","","",,39.435403,-121.54617,Bryan,Caples,bcaples@palermoschools.org,"","","","","","",2015-06-23,Palermo Union Elementary
"04615230110510","0629540","11570",Active,Butte,,Golden Hills Elementary,"2400 Via Canela","2400 Via Canela",Oroville,"95966-7200",CA,"2400 Via Canela","2400 Via Canela",Oroville,"95966-7200",CA,(530) 532-6000,"",http://goldenhills.palermoschools.org/,2006-08-14,,0,"","","52",Elementary School District,"60",Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,"4-5","4-5",N,0,39.4735,-121.5343,Carol,Brown,cabrown@palermoschools.org,"","","","","","",2015-06-18,Palermo Union Elementary
"04615230123687","0629540","13463",Active,Butte,,Palermo Special Education Preschool,"7390 Bulldog Way","7390 Bulldog Way",Palermo,"95968-9700",CA,"7390 Bulldog Way","7390 Bulldog Way",Palermo,"95968-9700",CA,(530) 533-4842,"",www.palermoschools.org,2010-07-01,,0,"","","52",Elementary School District,"08",Preschool,SPEC,Special Education School,PS,Preschool,P,"",N,,39.436182,-121.54613,Bryan,Caples,bcaples@palermoschools.org,"","","","","","",2016-08-17,Palermo Union Elementary
"04615236003289","0629540","04556",Active,Butte,,Helen M. Wilcox Elementary,"5737 Autrey Lane","5737 Autrey Ln.",Oroville,"95966-7278",CA,"5737 Autrey Lane","5737 Autrey Ln.",Oroville,"95966-7278",CA,(530) 533-7626,"",http://wilcox.palermoschools.org/,1980-07-01,,0,"","","52",Elementary School District,"60",Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-3,K-3,N,0,39.475394,-121.53582,Heather,Scott,hscott@palermoschools.org,"","","","","","",2015-06-18,Palermo Union Elementary
"04615236003297","0629540","04558",Active,Butte,,Palermo,"7350 Bulldog Way","7350 Bulldog Way",Palermo,"95968-9700",CA,"7350 Bulldog Way","7350 Bulldog Way",Palermo,"95968-9700",CA,(530) 533-4708,"",http://palermomiddle.palermoschools.org/,1980-07-01,,0,"","","52",Elementary School District,"62",Intermediate/Middle Schools (Public),TRAD,Traditional,INTMIDJR,Intermediate/Middle/Junior High,"6-8","6-8",N,0,39.435873,-121.54612,Kathleen,Andoe,kandoe@palermoschools.org,"","","","","","",2015-06-18,Palermo Union Elementary
"04615236089080","0629540","04557",Active,Butte,,Honcut,"68 School Street","68 School St.",Oroville,"95966",CA,"7390 Bulldog Way","7390 Bulldog Way",Palermo,"95968-9720",CA,(530) 742-5284,"","",1980-07-01,,0,"","","52",Elementary School District,"60",Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-2,K-2,N,0,39.329059,-121.53526,Heather,Scott,hscott@palermoschools.org,"","","","","","",2015-06-18,Palermo Union Elementary
"04615236115034","0629540","07490",Active,Butte,,Palermo Union Community Day (K-8),"7350 Bulldog Way","7350 Bulldog Way",Palermo,"95968-9700",CA,"7390 Bulldog Way","7390 Bulldog Way",Palermo,"95968",CA,(530) 533-4708,"","",1997-11-01,,0,"","","52",Elementary School District,"69",District Community Day Schools,COMMDAY,Community Day School,INTMIDJR,Intermediate/Middle/Junior High,K-8,"8",N,0,39.435873,-121.54612,Kathleen,Andoe,kandoe@palermoschools.org,"","","","","","",2015-10-28,Palermo Union Elementary
"04615236115067","0629540","",Merged,Butte,,Palermo Union Community Day,"2275 Yard Street","2275 Yard St.",Oroville,"95965",CA,"2275 Yard Street","2275 Yard St.",Oroville,"95965",CA,"","","",1997-11-01,1997-11-21,0,"","","52",Elementary School District,"69",District Community Day Schools,"","",ELEM,Elementary,K-6,"","",,,,"","","","","","","","","",1999-06-24,Palermo Union Elementary
"04615236116693","0629540","07948",Active,Butte,,Palermo Union Community Day (5-8),"7350 Bulldog Way","7350 Bulldog Way",Palermo,"95968-9700",CA,"7390 Bulldog Way","7390 Bulldog Way",Palermo,"95968",CA,(530) 533-4708,"","",1999-08-30,,0,"","","52",Elementary School District,"69",District Community Day Schools,COMMDAY,Community Day School,INTMIDJR,Intermediate/Middle/Junior High,"5-8","8",N,0,39.435873,-121.54612,Kathleen,Andoe,kandoe@palermoschools.org,"","","","","","",2015-06-18,Palermo Union Elementary
"04615310000000","0629820","",Active,Butte,,"","6696 Clark Rd","6696 Clark Rd",Paradise,"95969-2834",CA,"6696 Clark Rd","6696 Clark Rd",Paradise,"95969-2834",CA,(530) 872-6400,"",www.pusdk12.org,,,,"","","54",Unified School District,"","","","","","","","","",,39.778742,-121.58995,Donna,Colosky,dcolosky@pusdk12.org,"","","","","","",2015-07-01,Paradise Unified
"04615310110338","0629820","11571",Active,Butte,,Achieve Charter School of Paradise Inc.,"771 Elliott Rd","771 Elliott Rd",Paradise,"95969-3913",CA,"771 Elliott Rd","771 Elliott Rd",Paradise,"95969-3913",CA,(530) 872-4100,"",www.achievecharter.org,2005-09-12,,1,"0751",Directly funded,"54",Unified School District,"60",Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-8,K-8,N,0,39.760323,-121.62078,Casey,Taylor,ctaylor@achievecharter.org,"","","","","","",2016-09-01,Paradise Unified
"04615310118257","0629820","12238",Active,Butte,,Honey Run Academy Elementary,"622 Pearson Road","622 Pearson Rd.",Paradise,"95969-5133",CA,"622 Pearson Road","622 Pearson Rd.",Paradise,"95969-5133",CA,(530) 872-6461,"",www.honeyrun.pusdk12.org/,2008-08-12,,0,"","","54",Unified School District,"69",District Community Day Schools,COMMDAY,Community Day School,ELEM,Elementary,"4-6","5",N,0,39.752247,-121.60983,Dena,Kapsalis,dkapsalis@pusdk12.org,"","","","","","",2015-06-18,Paradise Unified
"04615310121715","0629820","12676",Active,Butte,,Paradise eLearning Charter Academy,"5911 Maxwell Drive","5911 Maxwell Dr.",Paradise,"95969-4023",CA,"6696 Clark Road","6696 Clark Rd.",Paradise,"95969-2861",CA,(530) 872-6425,"3104",http://paradisecharterschool.org,2010-08-16,,1,"1189",Locally funded,"54",Unified School District,"66",High Schools (Public),TRAD,Traditional,HS,High School,"9-12","9-12",P,0,39.761658,-121.61238,Kathleen,Blacklock,kblacklock@pusdk12.org,"","","","","","",2016-03-15,Paradise Unified
"04615310129999","0629820","",Active,Butte,,Paradise Unified Special Education,"6696 Clark Road","6696 Clark Rd.",Paradise,"95969-2834",CA,"6696 Clark Road","6696 Clark Rd.",Paradise,"95969-2834",CA,(530) 872-6400,"",www.pusdk12.org,2014-06-17,,0,"","","54",Unified School District,"08",Preschool,SPEC,Special Education School,PS,Preschool,P,"",N,,39.778701,-121.58938,Mary,Ficcardi,mficcardi@pusdk12.org,"","","","","","",2015-01-12,Paradise Unified
"04615310430025","0629820","12594",Active,Butte,,Paradise Adult,"622 Pearson Rd","622 Pearson Rd",Paradise,"95969-5132",CA,"622 Pearson Rd","622 Pearson Rd",Paradise,"95969-5132",CA,(530) 872-6424,"","",1980-07-01,,0,"","","54",Unified School District,"70",Adult Education Centers,TRAD,Traditional,HS,High School,Adult,"11-12",N,,39.752247,-121.60983,Michael,Lerch,mlerch@pusdk12.org,"","","","","","",2016-03-21,Paradise Unified
"04615310430108","0629820","08451",Active,Butte,,Honey Run Academy Secondary,"622 Pearson Rd","622 Pearson Rd",Paradise,"95969-5133",CA,"622 Pearson Rd","622 Pearson Rd",Paradise,"95969-5133",CA,(530) 872-6461,"",www.honeyrun.pusdk12.org/,1997-01-21,,0,"","","54",Unified School District,"69",District Community Day Schools,COMMDAY,Community Day School,HS,High School,"7-12","7-12",N,0,39.752247,-121.60983,Dena,Kapsalis,dkapsalis@pusdk12.org,"","","","","","",2015-06-18,Paradise Unified
"04615310430132","0629820","07949",Closed,Butte,,Paradise Charter Network (155),"622 Pearson Road","622 Pearson Rd.",Paradise,"95969",CA,"622 Pearson Road","622 Pearson Rd.",Paradise,"95969",CA,"","","",1998-08-25,2008-06-30,1,"0155",Locally funded,"54",Unified School District,"66",High Schools (Public),TRAD,Traditional,HS,High School,"7-12","7-12","",,,,"","","","","","","","","",2009-10-02,Paradise Unified
"04615310432856","0629820","04642",Active,Butte,,Ridgeview High (Continuation),"13665 Skyway","13665 Skyway",Magalia,"95954-0640",CA,PO Box 150,PO Box 150,Magalia,"95954-0150",CA,(530) 872-6478,"",www.ridgeview.pusdk12.org,1980-07-01,,0,"","","54",Unified School District,"68",Continuation High Schools,CON,Continuation School,HS,High School,"9-12","10-12",P,0,39.804837,-121.57962,Michael,Lerch,mlerch@pusdk12.org,"","","","","","",2015-06-18,Paradise Unified
"04615310437350","0629820","04640",Active,Butte,,Paradise Senior High,"5911 Maxwell Dr","5911 Maxwell Dr",Paradise,"95969-4023",CA,"5911 Maxwell Dr","5911 Maxwell Dr",Paradise,"95969-4023",CA,(530) 872-6425,"3004",www.phs.pusdk12.org,1980-07-01,,0,"","","54",Unified School District,"66",High Schools (Public),TRAD,Traditional,HS,High School,"9-12","9-12",P,0,39.761628,-121.6135,John,Christie,jchristie@pusdk12.org,Ryan,Vercruysse,rvercruysse@pusdk12.org,Kelly,Kriss,kkriss@pusdk12.org,2016-03-21,Paradise Unified
"04615316003305","0629820","",Closed,Butte,,Canyon View Elem.,"6593 Pentz Road","6593 Pentz Rd.",Paradise,"95969",CA,"6593 Pentz Road","6593 Pentz Rd.",Paradise,"95969",CA,"","","",1980-07-01,1989-06-30,0,"","","54",Unified School District,"60",Elementary Schools (Public),"","",UG,Ungraded,"","","",,,,"","","","","","","","","",1999-06-24,Paradise Unified
"04615316003313","0629820","04638",Active,Butte,,Paradise Elementary,"588 Pearson Rd","588 Pearson Rd",Paradise,"95969-5193",CA,"588 Pearson Rd","588 Pearson Rd",Paradise,"95969-5193",CA,(530) 872-6415,"",www.paradiseelem.pusdk12.org,1980-07-01,,0,"","","54",Unified School District,"60",Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,0,39.752234,-121.61124,Deborah,Davis,ddavis@pusdk12.org,"","","","","","",2016-07-19,Paradise Unified
"04615316003321","0629820","04639",Active,Butte,,Paradise Intermediate,"5657 Recreation Dr","5657 Recreation Dr",Paradise,"95969-5194",CA,"5657 Recreation Dr","5657 Recreation Dr",Paradise,"95969-5194",CA,(530) 872-6465,"",www.paradiseintermediate.pusdk12.org,1980-07-01,,0,"","","54",Unified School District,"62",Intermediate/Middle Schools (Public),TRAD,Traditional,INTMIDJR,Intermediate/Middle/Junior High,"6-8","6-8",P,0,39.750584,-121.61265,Frederick,Light,rlight@pusdk12.org,Jessica,Capen,jcapen@pusdk12.org,"","","",2015-06-18,Paradise Unified
"04615316003339","0629820","04641",Active,Butte,,Ponderosa Elementary,"6593 Pentz Rd","6593 Pentz Rd",Paradise,"95969-3632",CA,"6593 Pentz Rd","6593 Pentz Rd",Paradise,"95969-3632",CA,(530) 872-6470,"",www.ponderosa.pusdk12.org,1980-07-01,,0,"","","54",Unified School District,"60",Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,0,39.775666,-121.57956,Elizabeth,Amis,bamis@pusdk12.org,"","","","","","",2016-07-19,Paradise Unified
"04615316003347","0629820","",Closed,Butte,,Brakebill (Horace) Elementary,"7881 Gypsum Street","7881 Gypsum St.",Stirling City,"95978-0008",CA,PO Box 8,PO Box 8,Stirling City,"95978-0008",CA,"","","",2000-08-01,1980-07-01,0,"","","54",Unified School District,"60",Elementary Schools (Public),"","",ELEM,Elementary,K-6,"3-5","",,,,"","","","","","","","","",2002-03-15,Paradise Unified
"04615316089098","0629820","",Merged,Butte,,Paradise Preschool,PO Box 38,PO Box 38,Paradise,"95969",CA,PO Box 38,PO Box 38,Paradise,"95969",CA,"","","",1980-07-01,1989-06-30,0,"","","54",Unified School District,"08",Preschool,"","",UG,Ungraded,"","","",,,,"","","","","","","","","",1999-06-24,Paradise Unified
"04615316105522","0629820","08937",Active,Butte,,Pine Ridge,"13878 Compton Dr","13878 Compton Dr",Magalia,"95954-9430",CA,"13878 Compton Dr","13878 Compton Dr",Magalia,"95954-9430",CA,(530) 873-3800,"",www.pineridge.pusdk12.org,1980-07-01,,0,"","","54",Unified School District,"60",Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-8,K-8,N,0,39.813742,-121.60365,Carrie,Dawes,cdawes@pusdk12.org,Christina,Dunlap,cdunlap@pusdk12.org,"","","",2016-07-19,Paradise Unified
"04615316112585","0629820","04345",Active,Butte,,HomeTech Charter,"7126 Skyway","7126 Skyway",Paradise,"95969-3271",CA,"7126 Skyway","7126 Skyway",Paradise,"95969-3271",CA,(530) 872-1171,"",www.hometech.org,1994-08-31,,1,"0067",Directly funded,"54",Unified School District,"65",K-12 Schools (Public),TRAD,Traditional,ELEMHIGH,Elementary-High Combination,K-12,K-12,P,0,39.765519,-121.61688,Michael,Ervin,mervin@hometech.org,"","","","","","",2015-09-10,Paradise Unified
"04615316112999","0629820","04403",Active,Butte,,Paradise Charter Middle,"6473 Clark Rd","6473 Clark Rd",Paradise,"95969-3501",CA,"6473 Clark Rd","6473 Clark Rd",Paradise,"95969-3501",CA,(530) 872-7277,"",www.pcmsbulldogs.org/,1995-08-30,,1,"0079",Directly funded,"54",Unified School District,"62",Intermediate/Middle Schools (Public),TRAD,Traditional,INTMIDJR,Intermediate/Middle/Junior High,"6-8","6-8",N,0,39.772922,-121.5953,Chris,Reid,creid@pcms.tv,"","","","","","",2015-09-11,Paradise Unified
"04615316113526","0629820","05712",Active,Butte,,Cedarwood Elementary,"6400 Columbine Rd","6400 Columbine Rd",Magalia,"95954-9152",CA,"6400 Columbine Rd","6400 Columbine Rd",Magalia,"95954-9152",CA,(530) 873-3785,"",www.cedarwood.pusdk12.org,1996-08-28,,0,"","","54",Unified School District,"60",Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,0,39.853672,-121.5978,Laura,Kerns,lkerns@pusdk12.org,"","","","","","",2016-07-19,Paradise Unified
"04615316113765","0629820","05717",Active,Butte,,Children's Community Charter,"6830 Pentz Road","6830 Pentz Rd.",Paradise,"95969-2902",CA,"6830 Pentz Road","6830 Pentz Rd.",Paradise,"95969-2902",CA,(530) 877-2227,"",www.paradisecccs.org,1996-08-26,,1,"0094",Directly funded,"54",Unified School District,"60",Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-8,K-8,N,0,39.783692,-121.57956,Emily,Mullins,emullins@paradisecccs.org,"","","","","","",2015-06-18,Paradise Unified
"04615316113781","0629820","05718",Closed,Butte,,Mountain Ridge Middle,"13835 West Park Drive","13835 West Park Dr.",Magalia,"95954-9461",CA,"13835 West Park Drive","13835 West Park Dr.",Magalia,"95954-9461",CA,"","","",1996-08-28,2007-06-30,0,"","","54",Unified School District,"62",Intermediate/Middle Schools (Public),TRAD,Traditional,INTMIDJR,Intermediate/Middle/Junior High,"6-8","6-8","",,,,"","","","","","","","","",2009-10-02,Paradise Unified
"04615319010422","0629820","",Merged,Butte,,Paradise Preschool,PO Box 38,PO Box 38,Paradise,"95969",CA,PO Box 38,PO Box 38,Paradise,"95969",CA,"","","",1980-07-01,1999-11-24,0,"","","54",Unified School District,"08",Preschool,"","",UG,Ungraded,"","","",,,,"","","","","","","","","",2000-05-11,Paradise Unified
"04615490000000","0639180","",Active,Butte,,"","400 Grand Avenue","400 Grand Ave.",Oroville,"95965-4007",CA,"400 Grand Avenue","400 Grand Ave.",Oroville,"95965-4007",CA,(530) 538-2900,"",www.thermalito.org,,,,"","","52",Elementary School District,"","","","","","","","","",,39.519172,-121.57431,Gregory,Blake,gblake@thermalito.org,"","","","","","",2016-10-12,Thermalito Union Elementary
"04615490101485","0639180","11181",Active,Butte,,Pioneer Community Day,"2060 Sixth Street","2060 Sixth St.",Oroville,"95965-3251",CA,"2060 Sixth Street","2060 Sixth St.",Oroville,"95965-3251",CA,(530) 532-4437,"",www.thermalito.org,2003-08-18,,0,"","","52",Elementary School District,"69",District Community Day Schools,COMMDAY,Community Day School,ELEM,Elementary,"1-6","5",N,0,39.520997,-121.57837,Susan,Bowman,sbowman@thermalito.org,"","","","","","",2016-04-13,Thermalito Union Elementary
"04615490102327","0639180","10743",Active,Butte,,Plumas Avenue Elementary,"440 Plumas Avenue","440 Plumas Ave.",Oroville,"95965-3219",CA,"440 Plumas Avenue","440 Plumas Ave.",Oroville,"95965-3219",CA,(530) 538-2930,"",www.thermalito.org,2004-08-25,,0,"","","52",Elementary School District,"60",Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,0,39.519752,-121.57484,Stacie,Schuman,sschuman@thermalito.org,"","","","","","",2015-06-18,Thermalito Union Elementary
"04615496003354","0639180","06544",Active,Butte,,Nelson Avenue Middle,"2255 Sixth Street","2255 Sixth St.",Oroville,"95965-3260",CA,"2255 Sixth Street","2255 Sixth St.",Oroville,"95965-3260",CA,(530) 538-2940,"",www.thermalito.org,1980-07-01,,0,"","","52",Elementary School District,"62",Intermediate/Middle Schools (Public),TRAD,Traditional,INTMIDJR,Intermediate/Middle/Junior High,"6-8","6-8",N,0,39.525207,-121.57871,Rochelle,Simmons,rsimmons@thermalito.org,"","","","","","",2015-06-18,Thermalito Union Elementary
"04615496003362","0639180","06545",Active,Butte,,Poplar Avenue Elementary,"2075 Poplar Avenue","2075 Poplar Ave.",Oroville,"95965-3046",CA,"2075 Poplar Avenue","2075 Poplar Ave.",Oroville,"95965-3046",CA,(530) 538-2910,"","",1980-07-01,,0,"","","52",Elementary School District,"60",Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,0,39.513161,-121.61108,William (Bill),Harrington,bharrington@thermalito.org,"","","","","","",2016-08-22,Thermalito Union Elementary
"04615496003370","0639180","06546",Active,Butte,,Sierra Avenue Elementary,"1050 Sierra Avenue","1050 Sierra Ave.",Oroville,"95965-4238",CA,"1050 Sierra Avenue","1050 Sierra Ave.",Oroville,"95965-4238",CA,(530) 538-2920,"","",1980-07-01,,0,"","","52",Elementary School District,"60",Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,0,39.508886,-121.58865,Edward,Gregorio,egregori@thermalito.org,"","","","","","",2015-06-18,Thermalito Union Elementary
"04615496121016","0639180","10470",Active,Butte,,Heritage Community Day,"2080 Sixth Street","2080 Sixth St.",Oroville,"95965-3251",CA,"2060 Sixth Street","2060 Sixth St.",Oroville,"95965",CA,(530) 532-4376,"",www.thermalito.org,2002-08-01,,0,"","","52",Elementary School District,"69",District Community Day Schools,COMMDAY,Community Day School,INTMIDJR,Intermediate/Middle/Junior High,"4-8","7-8",N,0,39.521517,-121.5783,Susan,Bowman,sbowman@thermalito.org,"","","","","","",2015-06-18,Thermalito Union Elementary
"04733790000000","0630520","",Active,Butte,,"","286 Rockerfeller Road","286 Rockerfeller Rd.",Berry Creek,"95916-9724",CA,"286 Rockerfeller Road","286 Rockerfeller Rd.",Berry Creek,"95916-9724",CA,(530) 589-1633,"",http://pioneer.bcoe.butte.k12.ca.us,,,,"","","52",Elementary School District,"","","","","","","","","",,39.625505,-121.37292,Patsy,Oxford,poxford@puesd.org,"","","","","","",2015-12-18,Pioneer Union Elementary
"04733796002901","0630520","",Closed,Butte,,Brush Creek Elem.,Box 37 Star Route,Box 37 Star Rt.,Berry Creek,"95916",CA,Box 37 Star Route,Box 37 Star Rt.,Berry Creek,"95916",CA,"","","",1980-07-01,1989-06-30,0,"","","52",Elementary School District,"60",Elementary Schools (Public),"","",UG,Ungraded,"","","",,,,"","","","","","","","","",1999-06-24,Pioneer Union Elementary
"04733796002927","0630520","04742",Active,Butte,,Berry Creek Elementary,"286 Rockerfeller Road","286 Rockerfeller Rd.",Berry Creek,"95916-9724",CA,"286 Rockerfeller Road","286 Rockerfeller Rd.",Berry Creek,"95916-9724",CA,(530) 589-1633,"","",1980-07-01,,0,"","","52",Elementary School District,"60",Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-8,K-8,N,0,39.625505,-121.37292,Glenda,Nelson,gnelson@puesd.org,Susan,Gaston,sgaston@puesd.org,Patsy,Oxford,poxford@puesd.org,2015-12-18,Pioneer Union Elementary
"04733796115950","0630520","07950",Closed,Butte,,Bald Rock Community Day,"300 Rockerfeller Road","300 Rockerfeller Rd.",Berry Creek,"95916",CA,"286 Rockerfeller Road","286 Rockerfeller Rd.",Berry Creek,"95916",CA,"","","",1999-01-11,2016-06-30,0,"","","52",Elementary School District,"69",District Community Day Schools,COMMDAY,Community Day School,INTMIDJR,Intermediate/Middle/Junior High,K-8,"8",N,0,39.624053,-121.37322,"","","","","","","","","",2016-07-06,Pioneer Union Elementary
"04746820000000","0600090","",Active,Butte,,"","2491 Carmichael Drive, Suite 500","2491 Carmichael Dr., Ste. 500",Chico,"95928",CA,"2491 Carmichael Drive, Suite 500","2491 Carmichael Dr., Ste. 500",Chico,"95928",CA,(530) 879-7462,"","",,,,"","","98",Regional Occupation Center/Program (ROC/P),"","","","","","","","","",,39.715532,-121.80438,Susan,Steward,ssteward@bcoe.org,"","","","","","",2016-01-30,Butte County ROP
"04746820490011","0600090","10744",Active,Butte,,Butte County ROP,"2491 Carmichael Drive, Suite 500","2491 Carmichael Dr., Ste. 500",Chico,"95928-7192",CA,"2491 Carmichael Drive, Suite 500","2491 Carmichael Dr., Ste. 500",Chico,"95928-7192",CA,(530) 879-7462,"",www.bcoe.org/rop,1980-07-01,,0,"","","98",Regional Occupation Center/Program (ROC/P),"98",ROC/ROP,ROP,ROP,UG,Ungraded,"9-Post Secondary","","",,39.715532,-121.80438,Susan,Steward,ssteward@bcoe.org,"","","","","","",2015-11-06,Butte County ROP
